---,type,spawnTime,spawnPosition
1,"(TagName=""CutterType.Controll.Circle"")",1,"(X=0,Y=0,Z=0)"
2,"(TagName=""CutterType.Controll.Circle"")",2,"(X=0,Y=-350,Z=0)"
3,"(TagName=""CutterType.Controll.Circle"")",3,"(X=-350,Y=350,Z=0)"
4,"(TagName=""CutterType.Controll.Circle"")",4,"(X=350,Y=350,Z=0)"
5,"(TagName=""CutterType.Controll.StraightYoYo"")",5,"(X=400,Y=-400,Z=0)"
6,"(TagName=""CutterType.Auto.Expand"")",5,"(X=-400,Y=400,Z=0)"
7,"(TagName=""CutterType.Controll.FractalCircle"")",7,"(X=650,Y=0,Z=0)"
8,"(TagName=""CutterType.Controll.FractalCircle"")",7,"(X=-650,Y=0,Z=0)"
9,"(TagName=""CutterType.Controll.StraightYoYo"")",10,"(X=0,Y=0,Z=0)"
10,"(TagName=""CutterType.Auto.Expand"")",10,"(X=0,Y=-680,Z=0)"
11,"(TagName=""CutterType.Auto.Expand"")",10,"(X=0,Y=680,Z=0)"
12,"(TagName=""CutterType.Controll.Circle"")",13,"(X=700,Y=700,Z=0)"
13,"(TagName=""CutterType.Controll.Circle"")",15,"(X=380,Y=-280,Z=0)"
14,"(TagName=""CutterType.Controll.Circle"")",17,"(X=300,Y=0,Z=0)"
15,"(TagName=""CutterType.Controll.Circle"")",17,"(X=-300,Y=0,Z=0)"
16,"(TagName=""CutterType.Controll.Circle"")",17,"(X=0,Y=300,Z=0)"
17,"(TagName=""CutterType.Controll.Circle"")",17,"(X=0,Y=-300,Z=0)"
18,"(TagName=""CutterType.Auto.Expand"")",18,"(X=160,Y=420,Z=0)"
19,"(TagName=""CutterType.Controll.FractalCircle"")",20,"(X=0,Y=700,Z=0)"
20,"(TagName=""CutterType.Controll.Circle"")",22,"(X=700,Y=-700,Z=0)"
21,"(TagName=""CutterType.Controll.StraightYoYo"")",24,"(X=700,Y=380,Z=0)"
22,"(TagName=""CutterType.Controll.StraightYoYo"")",26,"(X=-700,Y=380,Z=0)"
23,"(TagName=""CutterType.Controll.Circle"")",28,"(X=0,Y=-700,Z=0)"
24,"(TagName=""CutterType.Auto.Expand"")",28,"(X=420,Y=-160,Z=0)"
25,"(TagName=""CutterType.Controll.FractalCircle"")",30,"(X=0,Y=-700,Z=0)"
26,"(TagName=""CutterType.Auto.Expand"")",30,"(X=-420,Y=-160,Z=0)"
27,"(TagName=""CutterType.Controll.Circle"")",33,"(X=380,Y=380,Z=0)"
28,"(TagName=""CutterType.Controll.Circle"")",36,"(X=380,Y=-380,Z=0)"
29,"(TagName=""CutterType.Controll.Circle"")",39,"(X=-380,Y=-380,Z=0)"
30,"(TagName=""CutterType.Controll.Circle"")",42,"(X=-380,Y=380,Z=0)"
31,"(TagName=""CutterType.Controll.StraightYoYo"")",44,"(X=0,Y=0,Z=0)"
32,"(TagName=""CutterType.Auto.Expand"")",44,"(X=-680,Y=0,Z=0)"
33,"(TagName=""CutterType.Auto.Expand"")",44,"(X=680,Y=0,Z=0)"
34,"(TagName=""CutterType.Controll.FractalCircle"")",47,"(X=-200,Y=0,Z=0)"
35,"(TagName=""CutterType.Controll.Circle"")",47,"(X=-700,Y=-700,Z=0)"
36,"(TagName=""CutterType.Controll.StraightYoYo"")",49,"(X=-200,Y=380,Z=0)"
37,"(TagName=""CutterType.Auto.Expand"")",49,"(X=200,Y=-380,Z=0)"
38,"(TagName=""CutterType.Controll.Circle"")",53,"(X=200,Y=0,Z=0)"
39,"(TagName=""CutterType.Controll.StraightYoYo"")",55,"(X=400,Y=400,Z=0)"
40,"(TagName=""CutterType.Auto.Expand"")",55,"(X=-400,Y=-400,Z=0)"
